,4.3 <= sepal_length < 5.4,5.4 <= sepal_length < 5.8,5.8 <= sepal_length <= 7.7,2.0 <= sepal_width < 3.2,3.2 <= sepal_width <= 4.2,1.1 <= petal_length < 2.45,2.45 <= petal_length < 4.8,4.8 <= petal_length <= 6.7,0.1 <= petal_width < 0.8,0.8 <= petal_width < 1.75,1.75 <= petal_width <= 2.5,target
0,1,0,0,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,1,0,0,1,0,0,0
2,1,0,0,0,1,1,0,0,1,0,0,0
3,1,0,0,1,0,1,0,0,1,0,0,0
4,1,0,0,0,1,1,0,0,1,0,0,0
5,0,1,0,0,1,1,0,0,1,0,0,0
6,1,0,0,0,1,1,0,0,1,0,0,0
7,1,0,0,0,1,1,0,0,1,0,0,0
8,1,0,0,1,0,1,0,0,1,0,0,0
9,1,0,0,1,0,1,0,0,1,0,0,0
10,0,1,0,0,1,1,0,0,1,0,0,0
11,1,0,0,0,1,1,0,0,1,0,0,0
12,1,0,0,1,0,1,0,0,1,0,0,0
13,1,0,0,1,0,1,0,0,1,0,0,0
14,0,0,1,0,1,1,0,0,1,0,0,0
15,0,1,0,0,0,1,0,0,1,0,0,0
16,0,1,0,0,1,1,0,0,1,0,0,0
17,1,0,0,0,1,1,0,0,1,0,0,0
18,0,1,0,0,1,1,0,0,1,0,0,0
19,1,0,0,0,1,1,0,0,1,0,0,0
20,0,1,0,0,1,1,0,0,1,0,0,0
21,1,0,0,0,1,1,0,0,1,0,0,0
22,1,0,0,0,1,0,0,0,1,0,0,0
23,1,0,0,0,1,1,0,0,1,0,0,0
24,1,0,0,0,1,1,0,0,1,0,0,0
25,1,0,0,1,0,1,0,0,1,0,0,0
26,1,0,0,0,1,1,0,0,1,0,0,0
27,1,0,0,0,1,1,0,0,1,0,0,0
28,1,0,0,0,1,1,0,0,1,0,0,0
29,1,0,0,0,1,1,0,0,1,0,0,0
30,1,0,0,1,0,1,0,0,1,0,0,0
31,0,1,0,0,1,1,0,0,1,0,0,0
32,1,0,0,0,1,1,0,0,1,0,0,0
33,0,1,0,0,1,1,0,0,1,0,0,0
34,1,0,0,1,0,1,0,0,1,0,0,0
35,1,0,0,0,1,1,0,0,1,0,0,0
36,0,1,0,0,1,1,0,0,1,0,0,0
37,1,0,0,0,1,1,0,0,1,0,0,0
38,1,0,0,1,0,1,0,0,1,0,0,0
39,1,0,0,0,1,1,0,0,1,0,0,0
40,1,0,0,0,1,1,0,0,1,0,0,0
41,1,0,0,1,0,1,0,0,1,0,0,0
42,1,0,0,0,1,1,0,0,1,0,0,0
43,1,0,0,0,1,1,0,0,1,0,0,0
44,1,0,0,0,1,1,0,0,1,0,0,0
45,1,0,0,1,0,1,0,0,1,0,0,0
46,1,0,0,0,1,1,0,0,1,0,0,0
47,1,0,0,0,1,1,0,0,1,0,0,0
48,1,0,0,0,1,1,0,0,1,0,0,0
49,1,0,0,0,1,1,0,0,1,0,0,0
50,0,0,1,0,1,0,1,0,0,1,0,1
51,0,0,1,0,1,0,1,0,0,1,0,1
52,0,0,1,1,0,0,0,1,0,1,0,1
53,0,1,0,1,0,0,1,0,0,1,0,1
54,0,0,1,1,0,0,1,0,0,1,0,1
55,0,1,0,1,0,0,1,0,0,1,0,1
56,0,0,1,0,1,0,1,0,0,1,0,1
57,1,0,0,1,0,0,1,0,0,1,0,1
58,0,0,1,1,0,0,1,0,0,1,0,1
59,1,0,0,1,0,0,1,0,0,1,0,1
60,1,0,0,1,0,0,1,0,0,1,0,1
61,0,0,1,1,0,0,1,0,0,1,0,1
62,0,0,1,1,0,0,1,0,0,1,0,1
63,0,0,1,1,0,0,1,0,0,1,0,1
64,0,1,0,1,0,0,1,0,0,1,0,1
65,0,0,1,1,0,0,1,0,0,1,0,1
66,0,1,0,1,0,0,1,0,0,1,0,1
67,0,0,1,1,0,0,1,0,0,1,0,1
68,0,0,1,1,0,0,1,0,0,1,0,1
69,0,1,0,1,0,0,1,0,0,1,0,1
70,0,0,1,0,1,0,0,1,0,0,1,1
71,0,0,1,1,0,0,1,0,0,1,0,1
72,0,0,1,1,0,0,0,1,0,1,0,1
73,0,0,1,1,0,0,1,0,0,1,0,1
74,0,0,1,1,0,0,1,0,0,1,0,1
75,0,0,1,1,0,0,1,0,0,1,0,1
76,0,0,1,1,0,0,0,1,0,1,0,1
77,0,0,1,1,0,0,0,1,0,1,0,1
78,0,0,1,1,0,0,1,0,0,1,0,1
79,0,1,0,1,0,0,1,0,0,1,0,1
80,0,1,0,1,0,0,1,0,0,1,0,1
81,0,1,0,1,0,0,1,0,0,1,0,1
82,0,0,1,1,0,0,1,0,0,1,0,1
83,0,0,1,1,0,0,0,1,0,1,0,1
84,0,1,0,1,0,0,1,0,0,1,0,1
85,0,0,1,0,1,0,1,0,0,1,0,1
86,0,0,1,1,0,0,1,0,0,1,0,1
87,0,0,1,1,0,0,1,0,0,1,0,1
88,0,1,0,1,0,0,1,0,0,1,0,1
89,0,1,0,1,0,0,1,0,0,1,0,1
90,0,1,0,1,0,0,1,0,0,1,0,1
91,0,0,1,1,0,0,1,0,0,1,0,1
92,0,0,1,1,0,0,1,0,0,1,0,1
93,1,0,0,1,0,0,1,0,0,1,0,1
94,0,1,0,1,0,0,1,0,0,1,0,1
95,0,1,0,1,0,0,1,0,0,1,0,1
96,0,1,0,1,0,0,1,0,0,1,0,1
97,0,0,1,1,0,0,1,0,0,1,0,1
98,1,0,0,1,0,0,1,0,0,1,0,1
99,0,1,0,1,0,0,1,0,0,1,0,1
100,0,0,1,0,1,0,0,1,0,0,1,2
101,0,0,1,1,0,0,0,1,0,0,1,2
102,0,0,1,1,0,0,0,1,0,0,1,2
103,0,0,1,1,0,0,0,1,0,0,1,2
104,0,0,1,1,0,0,0,1,0,0,1,2
105,0,0,1,1,0,0,0,1,0,0,1,2
106,1,0,0,1,0,0,1,0,0,1,0,2
107,0,0,1,1,0,0,0,1,0,0,1,2
108,0,0,1,1,0,0,0,1,0,0,1,2
109,0,0,1,0,1,0,0,1,0,0,1,2
110,0,0,1,0,1,0,0,1,0,0,1,2
111,0,0,1,1,0,0,0,1,0,0,1,2
112,0,0,1,1,0,0,0,1,0,0,1,2
113,0,1,0,1,0,0,0,1,0,0,1,2
114,0,0,1,1,0,0,0,1,0,0,1,2
115,0,0,1,0,1,0,0,1,0,0,1,2
116,0,0,1,1,0,0,0,1,0,0,1,2
117,0,0,1,0,1,0,0,1,0,0,1,2
118,0,0,1,1,0,0,0,0,0,0,1,2
119,0,0,1,1,0,0,0,1,0,1,0,2
120,0,0,1,0,1,0,0,1,0,0,1,2
121,0,1,0,1,0,0,0,1,0,0,1,2
122,0,0,1,1,0,0,0,1,0,0,1,2
123,0,0,1,1,0,0,0,1,0,0,1,2
124,0,0,1,0,1,0,0,1,0,0,1,2
125,0,0,1,0,1,0,0,1,0,0,1,2
126,0,0,1,1,0,0,0,1,0,0,1,2
127,0,0,1,1,0,0,0,1,0,0,1,2
128,0,0,1,1,0,0,0,1,0,0,1,2
129,0,0,1,1,0,0,0,1,0,1,0,2
130,0,0,1,1,0,0,0,1,0,0,1,2
131,0,0,0,0,1,0,0,1,0,0,1,2
132,0,0,1,1,0,0,0,1,0,0,1,2
133,0,0,1,1,0,0,0,1,0,1,0,2
134,0,0,1,1,0,0,0,1,0,1,0,2
135,0,0,1,1,0,0,0,1,0,0,1,2
136,0,0,1,0,1,0,0,1,0,0,1,2
137,0,0,1,1,0,0,0,1,0,0,1,2
138,0,0,1,1,0,0,0,1,0,0,1,2
139,0,0,1,1,0,0,0,1,0,0,1,2
140,0,0,1,1,0,0,0,1,0,0,1,2
141,0,0,1,1,0,0,0,1,0,0,1,2
142,0,0,1,1,0,0,0,1,0,0,1,2
143,0,0,1,0,1,0,0,1,0,0,1,2
144,0,0,1,0,1,0,0,1,0,0,1,2
145,0,0,1,1,0,0,0,1,0,0,1,2
146,0,0,1,1,0,0,0,1,0,0,1,2
147,0,0,1,1,0,0,0,1,0,0,1,2
148,0,0,1,0,1,0,0,1,0,0,1,2
149,0,0,1,1,0,0,0,1,0,0,1,2
